局名,ppb
西部コミュニティセンター,55
国設大阪,63
茨木市役所,43
高石中学校,74
池田市立南畑会館,43
大東市役所,59
府立修徳学院,76
貝塚市消防署,74
島本町役場,43
富田林市役所,107
南海団地,65
泉南市役所,70
緑ケ丘小学校,79
三日市公民館,80
藤井寺市役所,91
岸和田中央公園,73
佐野中学校,73
泉大津市役所,73
豊能町役場,47
此花区役所,73
平尾小学校,68
野中小学校,55
桃谷中学校,63
大宮中学校,57
聖賢小学校,61
清江小学校,****
摂陽中学校,66
今宮中学校,72
九条南小学校,71
茨田北小学校,35
南港中央公園,55
出来島小学校,58
少林寺,77
浜寺,75
三宝,70
若松台,83
石津,61
登美丘,99
深井,94
美原,85
金岡南,87
高石消防署高師浜出張所,63
豊中市千成,50
豊中市千里,****
豊中市役所,38
吹田市垂水,49
吹田市北消防署,48
吹田市高野台,48
東大阪市西保健センター,67
東大阪市六万寺,63
東大阪市環境衛生検査センター,61
楠葉,46
枚方市役所,52
王仁公園,50
高槻北,44
庄所,47
八尾市保健所,72
成田,
寝屋川市役所,49
